ɂah,snowshoe
sǫǫ̀ts'eda,be angry in silence; silent treatment
sǫt'à ts'edı-le,not joke; not talk jokingly; not kid
sǫts'ı̨ı̨wǫ,smile; be happy; be merry; be in a good mood; be friendly
sǫts'ı̨ı̨wǫ,smile; be favorable; be friendly
shàà,knot
shègezhe,they are having a meal; they are eating
shèts'etı̨,have a meal (one or two people); eat (one or two people)
shèts'etı̨ ha dı̀ı̀,cannot eat; indigestion
shèts'ezhe,have a meal (plural); eat (plural)
shèts'ezhee k'è,dining room
shèzhe,have a meal (plural); eat (plural)
shı,too; also
shı̨,song; music
shı̀a,hill
shı̀deè,great mountains; mountain range
shı̀deè t'a etǫ làanè,mountain ridge
shı̀h,mountain; hill
Shı̀h Eghoòlǫ,Bedford Point
shı̀h k'aga,hill side
shı̀h nèk'e,hill country; mountainous region
shı̀hgee goèɂàa,valley
shı̀hgee gonı̀ı̨tǫǫ,valley
shı̀hka,mountaintop; hilltop
shı̀hka golıı̀,mountain ice
shı̀hkę̀ę,slope of a hill
shı̀hlǫ,mountaintop
shı̀hta got'ı̨ı̨̀,mountain people
shıre,top powder snow
shoò,movie; TV show; TV program
taà,three times
taacho,waves in water
taanı,half; in half; middle
taanıbòk'eè,half made beaver (unit of currency)
taanıdzèèbò,half made beaver (unit of currency)
taanıtsàwò,half made beaver (unit of currency)
Taatı,Christmas; Christmas eve mass
Taatı,Christmas
Taatı Dzęę̀ chekoa sǫnàgedèe,Christmas concert
Taatı Dzęę̀ tsekoa sǫnàgedèe,Christmas concert
Taatı nezı̨ı̨,Merry Christmas
Taatı Zaà,December
taatı̨ı̨̀,waves
"Taatı, haı̨waà ts'ǫ̀ ehdzo k'ehłe ha. Eyıtł'àxǫǫ̀ nı̨dè dzǫ nahtła ha.",I will go set traps until Christmas. After that I will return.
taą̀t'e,every
taàt'e,every
taatso,waves in water
tabàa,lake shore; shore
tàda,sickness; disease
tàda ch'à gozhı̨̀ı̨̀ yı̀ı nàèdı hołèe,antibodies
tàda dek'oa,chicken pox
tàda dǫ taı̨woo,epidemic
tàda goxèehdı,be infected
tàda goxèı̀dı ts'ǫ wegoèht'ı̨̀ wek'aata,incubation period for illness
tàda hazǫǫ̀ nèk'e dǫ taı̨woo,pandemic disease
tàdakw'òa,bacteria; germs; virus
tàda nàtso wet'à edı ts'ı̨ı̨lı̨ı̨,typhoid fever
tàda tsı̨̀yehwhı,be in poor health; be ravaged by sickness
tàda ts'à gòı̀goo,immunization
tàda wetaı̨woo,contaminated
tàdaadlà,beginning to tear
tàdałı̨ı̨,STI; STD; venereal disease
tàdałı̨ı̨,AIDS
tàdałı̨ı̨,herpes
Tade Cho,Wool Bay
Tade Tso,Wool Bay
Tadea,Wool Bay
tadea,very shallow water
tadecho,waves in water
tadee,shallow water
tadǫchı̨èhzhah,stand up in a circle (plural objects)
tadǫetła,walk in a circle (one person)
tadǫgoèɂaa,it goes around in a circle (path)
tadǫnıɂà,extend around in a circle
tadǫtsı̨èhzah,stand up in a circle (plural objects)
tadǫwheɂa,extend in a circle
tadǫwheɂaa k'ę̀ę̀ dagowo,tea dance; round dance
tadzàa,middle of the lake
tàeɂè,land on shore
tàehke,arrive over water; paddle to shore
tàèhłı,driftwood
tàèhtǫ,be washed ashore (rigid object); be carried ashore (rigid object)
tàèhtła,he came ashore (one person)
taènǫ,thirty
tàetła,move to a different location (one person)
tagoetłòo,slush in spring
tagoı̨hwhàà,(water) is deep
tagoı̨hwhàà-le,(water) is not deep; be shallow
tagòǫhwhàà,deep water
taghòò,whitecaps
tahàetıı,"three prayers (Lord's Prayer, Hail Mary, Glory Be)"
tahàts'eehtı,miscommunicate; say differently
Tahga,North Arm of Great Slave Lake
Tahga got'ı̨ı̨̀,people along the shore of the North Arm of Great Slave Lake
tàhke,arrive over water; paddle to shore
tahkò,maybe; perhaps
tàhtsı̨̀ą,low bush in the barrens
tàhtsıı̀,snowdrift; hard top snow
tàhtsıı̀kǫ̀,igloo
taı,three
taı sa taàt'eè sǫǫ̀mba naıtà wenı̨htł'è,quarterly financial report
taı̨̀ɂee,high water level
Taıdzęę̀,Wednesday
tajàa,middle of the lake
takakw'ıı̀,dragonfly
tak'aà,wake of an animal or boat in the water
tak'è,middle of the lake
tàk'è,shoot to pieces; crack into pieces
tak'è gonı̨̀ı̨ɂà,it crosses the lake
takw'ı,open water during winter
talı̨̀ą,sandpiper (type of bird)
Tamekw'awoa Deè,Mosquito Creek
tamı̨̀,fishnet
Tamı̨̀ą Deè,Mosquito Creek
tamı̨̀hgoa,twine used to mend fishnets
tamı̨̀hkw'èè,twine used to mend fishnets
tambàa,lake shore; shore
tambeh,scissors
tambeh,knife
tanecho <?>,room
tanèt'e,every
tanı,half; in half; middle
tanı ekw'a,middle second crosspiece of snowshoes
tanı lanı̀,medial
tanı ts'ǫ̀,half way; divided in half
tanı ts'ǫ̀ dèets'ǫ̀k'àowo gıtł'aà wheɂǫǫ,50% government-owned investment
taǫ̀t'e,every
tataa,ripple from a moving creature or object in the water
tataà,strip of land with water on both sides
tatı̀,wave; overflow
tatł'aa,bay on a peninsula
Tatł'ahkǫ̀,Aklavik
tatł'èloò,water slime
tatse,steam
tatsea,falcon
tatsehtsoa,small hawk; falcon; merlin; American kestrel
tatselea,sharp-shinned hawk
tatsǫ̀,raven
tatsǫ̀ nıde!,May a raven eat you! (rude expression)
tatsǫ̀ yııde,swear words; may the raven eat him
tatsǫ̀gaà,crow
tàtsǫts'eedı,mash with the heels of the hand
tàts'eeɂè,wear out footwear
tàts'eedè,move to a place (plural); go to a place (plural); land at a place (plural)
tàts'eehch'ı,chop along the wood-grain; split; tear up
tàts'eehdlà,split (wood); tear up
tàts'eehkà,chop into pieces with heavy blows
tàts'eehts'ı,chop along the wood-grain; split; tear up
tàts'eekwı̨̀,chop up with an axe; cut up
tàts'eekwı̨̀,chop
tàts'eet'à,cut into pieces; saw into pieces
tàts'eezı̀,break up
tàts'eezhı̀,break up
tats'ete,have a bad dream
tawoò,open water (on ice)
tawoò tatseè,open water; steam from open water in the ice
taxàet'a,he flew out (the smoke hole?)
tàyehge,chopped up
tazǫ-le,not at all; never ever
tè,mat; rug; sleeping tarp; blanket; bed sheet
tè,cane
tede,fall in water (cloth object)
tedeewı̀,fall in water (single object)
tèe,underwater; in water
tèe k'ebe,swim around in or under the water (one or two people/animal)
teechı̨ı̨̀,stick used to set fishnets
tèeht'aà,lily pad; water lily
tèenàwo,stand in water
tèenı̀ı̀t'à,be put down in the water (chunky object); be placed down in the water (chunky object)
tèenı̨̀t'à,be put down in the water (chunky object); be placed down in the water (chunky object)
tèet'à,be placed in the water (chunky object)
tèet'ǫ,Arctic loon; loon
tèet'ǫ weèhdà degoo,Arctic loon
tèetł'o,waterweed
teetsı̨ı̨̀,stick used to set fishnets
tèewheɂǫ,be located in water (chunky object)
tèewheda,be in water (one person; animate object); sit in water (one person; animate object)
tèewhehchı̀h,be located in water (cloth object)
tèewhehtsı̀h,be located in water (cloth object)
tèewhela,be located in water (plural objects)
tèewhetı̨,lie in water (animate object)
tèewhetǫ,be located in water (rigid object)
tèewhetł'ıh,be located in water (powdery or granular material)
tegeèt'ı̨ı̨̀ agedı,they spoke touchingly; tenderly; pitifully
tehdlaa,water plant
tehdlare,water plant
tehdzı,mink
tehdzı̀e,"red berries which grow in wet moss, like large cranberries"
Tehgǫǫ̀ Tı̀,Basler Lake
tehghòo,forked stick for setting fishnets
tehjı,mink
tehjı̀e,"red berries which grow in wet moss, like large cranberries"
tehkǫ̀,flashlight; battery
tehk'àa,muskrat
tehkw'ǫǫ̀,permafrost
tehmı̨̀,grub sack; packsack
tehtł'ıı̀,the string that leads underwater on a fish net; footrope
tehtsà,water beetle; water insect
tehtsà dek'oa,ladybug
tehtsà kwı̀kw'ǫǫ̀,shell (clam); shellfish
tehtsàcho,seal
tehtsàcho kwı̀kw'ǫǫ̀,turtle shell
tehtsàkw'òa,snail
tehtsàtso,seal
tehtsàts'ı̨̀ą,type of small water bug which jumps around
tehts'èe,fleas; ticks (on dogs or rabbit)
tehzah k'eɂò,"snow is floating in the water, when the ice forms"
tehzhah k'eɂò,"snow is floating in the water, when the ice forms"
teka,jump in the water
tekàda,come out of the water (one person)
tekàtła,come out of the water (one person)
tekàts'eeɂà,take out of water repeatedly (chunky object)
tekàts'eeɂah,take out of water (cloth object)
tekàts'eechı,take out of water (single object)
tekàts'eeka,take out of water (plateful)
tekàts'eetı̨̀,take out of water (rigid object)
tekàts'eetsı,take out of water (single object)
tekàts'ehchı,take out of water (cloth object)
tekàts'ehtè,take out of water (animate object)
tekàts'ehtsı,take out of water (cloth object)
tekàts'ehxe,take out of water (heavy object)
tekàts'ele,take out of water (plural objects)
tekàts'ewa,take out of water (many things)
tekà-,out of water
tekw'ı,fall in water (single thing)
telà,sink
tenadle,be put back in water
tenats'eɂà,put back in water repeatedly (chunky object)
tenats'eɂah,put back in water (cloth object)
tenats'edè,go in water repeatedly (plural); we go skinny dipping?
tenats'eechı,put back in water (single object)
tenats'eedı,press back into the water with the hand
tenats'eeka,put back in water (plateful)
tenats'eetsı,put back in water (single object)
tenats'ehchıh,put back in water (cloth object)
tenats'ehtè,put back in water (animate object)
tenats'ehtsıh,put back in water (cloth object)
tenats'ehxe,put back in water (heavy object)
tenats'ele,put back in water (plural objects)
tenats'etı̨̀,put back in water (rigid object)
tenats'ets'ò,throw into water by handfuls
tenats'ewa,put back in water (many things)
tenı̨ı̨ɂa,be standing in the water (rigid object)
tenı̨̀ı̨ɂa,be standing in the water (rigid object)
tenı̨̀ı̨be,be boiled until soft
tenı̨̀ı̨t'ı,be stretched out under water
tetła,dive (one person)
Tetsǫǫ̀t'ı̨ı̨̀,Dene Sulhine / Chipewyan people
tets'a kǫ̀a <?>,sleeping room
tets'eɂà,put in water (chunky object)
tets'eeɂah,put in water (cloth object)
tets'eechı,put in water (chunky object)
tets'eedı,press into water with the hands
tets'eeka,put in water (plateful)
tets'eetı̨̀,put in water (rigid object)
tets'eetsı,put in water (chunky object)
tets'ehchı,push under water (cloth object)
tets'ehk'ah,throw in water (single object)
tets'ehtè,put in water (animate object)
tets'ehtsı,push under water (cloth object)
tets'ehxe,put in water (heavy object)
tets'ekw'ı,fall in the water; overboard
tets'ele,put in water (plural objects)
tets'ewa,put in water (many things)
tewhehchı̀ı,dishcloth
tewhehtsı̀ı,dishcloth
texàda,come out of the water (one person)
texàtła,come out of the water (one person)
texàts'eeɂà,take out of water repeatedly (chunky object)
texàts'eeɂah,take out of water (cloth object)
texàts'eechı,take out of water (single object)
texàts'eekà,take out of water (plateful)
texàts'eetı̨̀,take out of water (rigid object)
texàts'ehchı,take out of water (cloth object)
texàts'ehtè,take out of water; rescue out of water (animate object)
texàts'ehtè,take out of water (animate object)
texàts'ehxe,take out of water (heavy object)
texàts'ele,take out of water (plural objects)
texàts'ewa,take out of water (many things)
texà-,out of water
teze,be put in water (plural objects)
tezhe,be put in water (plural objects)
tı,water; lake; liquid
tı behchı̨ı̨̀,water truck
tı behtsı̨ı̨̀,water truck
tı daehk'òo,puddle of water
tı daı̀wı̀ı,overflow
tı datseè,steam; mist
tı dètł'ıı,water flow; flood
tı doètł'ıı,swollen streams
tı doèwoo,swollen streams
tı doòtł'ıı,swollen streams
tı doòwoo,swollen streams
tı eehxoo tatseè,steam from boiling water
tı eht'òo,water pump
tı ełı̀nı̨laa,water connecting two lakes
tı ètł'ıı,water flow; flood
tı etł'ò,water runs off; water gushes
tı ezǫǫ̀,bail water out of a boat
tı goɂǫ̀ǫ̀ at'ı̨,have diarrhea
tı goghàedıı,water delivery
tı ghaewı̨,be thirsty
tı kàetł'ı̀ı k'è,public water tap
tı kàetł'òo k'è,water tap
tı kàts'ezǫǫ̀,bail out water
tı k'abàa,shore; shoreline
tı k'e ts'ǫ,from across the lake
tı k'elee dǫǫ̀,water delivery man
tı k'etł'à,other end of the lake
tı k'etł'òo,running water
dats'ıı̀hts'ò,sprinkle heavily; sprinkle liberally
tı lı̀baà,water barrel
tı lı̀barı̀,water barrel
tı nagı̀chıı k'è,water reservoir
tı nı̨̀hkè,form a blister
tı senaèhɂı̨ı̨,water treatment
tı ta ts'ehbe,scald; boil in water
tı tatseè,steam; mist
tı t'à esaade,drown
tı t'à t'asaade,drown
tı t'à ts'ehtse,steam (over hot water)
tı t'à xàts'eetła,urinate (one person)
tı t'à xàts'eetła k'è,urethra
tı tł'àɂeh,jeans
tı ts'ı̀hchıı k'è,well for water
tı ts'ı̀htsıı k'è,well for water
tı waewı̨,be thirsty
tı wet'à gokw'ǫǫ̀ge łeyı̨ı̨,synovial fluid
tı whekǫ̀ǫ tǫ,thermos bottle; hot water bottle
tı xàetł'ı̀ı k'è,public water tap
tı xàetł'òo k'è,water tap
tı xàts'etła,go out for water (one person)
tı xè ts'eedzı̀,drown; choke on water
tı xè ts'eejı̀,drown; choke on water
tıa,puddle; pond; small lake
tıa whehtǫǫ,lagoon
tıbàa,water's edge; edge of the water
Tıbıı̀,T.B.
tıchıı̀,water spray
tıcho,big lake; ocean
tı̀cho,common loon
tıchobàa,coast; shore of the ocean
tıch'a,away from the trail; ditch; in the powdery snow
tı̨ch'a,away from the trail; ditch; in the powdery snow
tıch'a nàdèe,animals
tı̨ch'a nàdèe,animals
tıch'aàdı wewò ts'ehch'ı,skin an animal
tıch'aàdı wewò ts'ehts'ı,skin an animal
tı̨ch'aàdı̀ı,animal
tıch'aàdı̀ı,animal
tı̨ch'aàdı̀ı ɂǫǫ,animal den
tı̨ch'aàdı̀ı done yedèe,animals eaten by people
tı̨ch'aàdı̀ı dzeèbàa k'e satsǫ̀ whelaa,ear tag on animals
tıch'aàdı̀ı k'èhodı̀ı,pet
tıch'aàdı̀ı sıı̀ts'ehɂı̨,cleaning an animal
tıch'aàdı̀ı tàdaà,rabies
tı̨ch'aàdı̀ı zhàà,animal tick
tı̨ch'aàdı̀ıdeè,large game animal
tıch'ıı̀,dirty water; mud puddle
tıdaa,narrow lake
tıdaàwı̀ı,flood
Tı̀daıtı̀,Mason Lake
Tıdeè,Great Slave Lake
tıdeè,big lake; ocean
tıewı̀ı,water run-off
tıhkǫ̀,water house
tıhłı̨ı̨,bile; diarrhea
tıhłı̨ı̨ goɂǫ̀ǫ̀ at'ı̨,have diarrhea
tıhłı̨ı̨ godzeè k'eı̀tǫ,heartburn; nausea
tıhłı̨ı̨ godzeè k'ı̨ı̨̀tǫ,heartburn; nausea
tı̨ı̨dà,doorway; door
tı̨ı̨dàkǫ̀ą,porch
tııwoo,soup; broth
tıka,water surface
tık'è,water hole; for getting water from under the ice
tık'eènıwhelı̨ı̨,place where a river flows into a lake
tık'elee behchı̨ı̨̀,Water delivery truck
tık'etł'òo ghàlaedaa dǫǫ̀,plumber
tıkw'à,water dipper
tı̨lı,road; path; trail
tı̨lı ełek'ètee nı̨ɂaa,intersection
tı̨lı ghagǫ̀ǫɂàa,potholes in the road
tı̨lı k'e eghàlageeda dǫǫ̀,road crew
tı̨lı seèhɂı̨ı̨,grader; snowplow
tı̨lı sıı̀ts'ehɂı̨,repairing the road
tı̨lı tee gots'eehwhı,cross the road (plural)
tı̨lı tıte naàwheɂaa,bridge
tı̨lıbàa,roadside
tı̨lıbàa nıgǫǫ̀ɂàa,ditch along the road
tı̨lıdeè,highway
tı̨lıdeè k'è,traffic; highway
tı̨lımbàa,roadside
Tıłı̀ht'a,Fort Norman
Tıłı̀ht'a Kǫ̀,Fort Norman
tıłı̨ı̨ / nàèdıłı̨ı̨,acid
Tı̀mı̨̀ch'ahtı̀,Tumi Lake
Tı̀mı̨̀ts'ahtı̀,Tumi Lake
tı̨mǫets'eda,run (one person)
tı̨mǫets'edè,run (plural)
tı̨̀nats'ehxo,rinse clothes
tındeè,big lake; ocean
Tındeè,Great Slave Lake
tıtǫǫ̀,water bucket; water tank
tıtǫǫ̀ nechàa,water tank
tıtł'a,under water
tıtł'ıı̀,water hose; water pipe
tıtsıı̀,water spray
tıtso,big lake; ocean
tı̀tso,common loon
tı̀tsoa,teal
tıtsobàa,coast; shore of the ocean
tı̨ts'a,away from the trail; ditch; in the powdery snow
tı̨ts'a nàdèe,animals
tı̨ts'aàdı̀ı,animal
tı̨ts'aàdı̀ı done yedèe,animals eaten by people
tı̨ts'aàdı̀ı dzeèbàa k'e satsǫ̀ whelaa,ear tag on animals
tıts'aàdı̀ı tàda dǫ ta at'ı̨ı̨,vector
tı̨ts'aàdı̀ı zàà,animal tick
tı̨ts'aàdı̀ıdeè,large game animal
tıts'ıɂèa,worn-out caribou-hide parka
tıts'ıı̀,dirty water; mud puddle
tıwoò,rubber boots
tıwoò nedèe,hip waders
tlı̨ yaatsı,be taken along by dogteam; be carried along by dogteam; travel by dogteam
tǫ,ice on bodies of water
tǫ,container; pot; kettle; bucket; pail
to,night; dark; darkness
tǫ daelee,ice pans; floating ice
tǫ deɂòo,ice flowing down-river
tǫ detǫǫ,thick ice
tǫ dezhı̀ı,solid ice
tǫ ehtı̨̀ı̨,cracked ice
tǫ enı̨̀nı̨ɂeh,ice jam
to ı̨dàa kwǫ̀ǫ̀,"caribou left overnight before butchering, for extra flavour"
tǫ ı̨kw'ı̨ı̨̀,ice is new; ice is clear
tǫ k'abàa,edge of ice
Tǫ k'e dèts'ıh.,It has started to blow on the ice.
tǫ k'e kwe geehsı̀ı k'è,curling rink
tǫ k'e nı̨htł'èk'et'aa detłaa k'è,ice airstrip
tǫ k'e tı̨lı,ice road
tǫ k'e ts'etı̨,lie down on the ice
to k'edaa,curfew officer
tǫ łats'ı̨ı̨dlah,crack in the ice
tǫ nàetǫ̀ǫ,broken ice
tǫ nàtı̨̀,ice is breaking up
tǫ netsàa,big pot
tǫ sı̀ghaı̨hzǫǫ,medium-sized pot
tǫ tàèhtǫǫ,ice jam
tǫ tàhtǫǫ,ice jam
to tanı,midnight; middle of the night
to tanı daats'ǫ̀,after midnight
tǫ ts'egoo,chop a hole in the ice with a chisel
tǫ wet'à tı ats'ehɂı̨ı̨,pot for melting snow
to whaà,late at night
toàhoowo,night is spent (repeatedly)
tobı̀a,quarter coin
tǫchı̨ı̨̀,handle of bucket
tǫdoa,melted ice along the shores above open water; break-up
tǫdoo,melted ice along the shores above open water; break-up
Tǫdoo Zaà,May
tǫdzı,woodland caribou
togodıı̀tł'òo,be dark outside; there is darkness
togǫhsa,moon
togoı̀tł'òo,be dark outside; there is darkness
tǫhchèa,small dipper for water; small saucepan
tǫhcho,big bucket; big pail
tǫhch'ıı̀,slop pail; garbage can; old bucket
tohkǫ̀,flashlight; battery
tǫhkǫ̀,community freezer; cache; storage house insulated with moss
tǫhkǫ̀ǫ̀,town freezer
tǫhkw'ı̨̀ą,first clear ice; bare ice
tǫhkw'ı̨ı̨̀,first clear ice; bare ice
tǫhtsèa,small dipper for water; small saucepan
tǫhtso,big bucket; big pail
tǫhts'ıı̀,slop pail; garbage can; old bucket
tǫhxe,boil
tǫkw'ı̨ı̨̀,bare ice (without snow cover)
tǫmǫets'eda,run (one person)
tǫmǫets'edè,run (plural)
tǫnı̀ı̨dlaa,long crack in the ice
tǫnı̀ı̨dlaa gee gòɂǫǫ,open crack in the ice; space between cracked ice
too,night; dark; darkness
tǫǫ̀eze,be brought back ashore
tǫǫ̀ezhe,be brought back ashore
tooghàà ezoò,all night noise
tooghàà nǫbawee,period of long daylight; midnight sun
totłe dago <?>,drum-dance
tǫtł'a,under the ice
tǫtsı̨ı̨̀,handle of bucket
tǫtsoa,thin ice; season of thin ice; early winter
tǫtsoa k'e,time when ice is thin; early November
tǫts'aatłe,going up from the shore (one person)
tǫts'eeɂè,land on shore again; go ashore again
tǫts'eedè,go back home (plural); go back ashore (plural)
tǫts'eet'è,land on shore again; go ashore again
tǫts'eetła,land on shore (one person); go up from the shore (one person)
tǫts'ehdè,throw ashore (plural)
tǫts'ı̀,springtime; break-up
tǫts'ı̀ k'e,early spring
Tǫts'ı̀ Zaà,May
Toyatı,Christmas
Toyatı,Christmas; Christmas eve mass
Toyatı Zaà,December
toyatsogeewa,
toyetı̨̀,jigger
tǫyıı̀t'ı,be stretched out under the ice
t'à,because
t'aa,Focus marker
t'aa,whoever; whose; however
t'aàkǫ,thimble
t'aanı̀,whatever way; how
t'aàtłǫ,however much; however many
t'aats'ǫ̀,somewhere
t'aats'ǫ̀,however long in time
t'aats'ǫ̀,somewhere
t'aats'ǫ ts'ǫ̀,ever since the first time; always; from the beginning
t'adı t'à,wholeheartedly; committedly
t'aeɂı̨̀ą,front gunsight
t'ah,feather
t'ahoeyı̨̀ı̨,whatever kind; any kind; any type
t'ahots'ǫ gots'ǫ̀,ever since the first time; always; from the beginning
t'ahtsoa,safety pin
t'ahxǫ,maybe; perhaps
t'aı̨hwhaà,however long in time
t'aı̨waà,however far; however long in time; when
t'akwe,before; in the past; formerly; first
t'akwe whaà,long ago
t'akwet'à,first in time; at first
t'ala k'e sı̀ı,whatever time; whatever place; anytime; anywhere
t'alàa sı̀ı,whatever kind; any kind; anything
t'ànàchı̨ɂako,he got his legs under him; he landed on his feet?
t'anı̀ı̨hwhàa,however far
t'asade,have a bad experience; have something bad happen; get hurt
t'asagode,something bad happens
t'asagodı,there is a noise
t'asagodı,be a sound
t'asàgodı-le,be quiet
t'asagǫ̀ht'e-le,be fine situation; be nothing amiss
t'asanı̀le,be okay; be all right
t'asanı̀le,it's alright; ok; it doesn't matter
t'asats'edı,say something
t'ası̀a,small thing; small stuff
t'ası̀a ts'eɂà,snack
t'ası̀ı,thing; things; something; anything
t'ası̨̀ı̨,somewhere; anywhere
t'ası̨̀ı̨,somewhere; anywhere
t'ası̨̀ı̨̀,Question marker for yes-and-no questions
t'ası̀ı,things; something
t'ası̀ı ch'àɂǫǫ dǫǫ̀,game warden; renewable resource officer
t'ası̀ı ch'ıı̀,scraps; garbage
t'ası̀ı ch'ıı̀ nałaetł'òo k'è,dump (place)
t'ası̀ı daànıts'edèe,things to consider
t'ası̀ı daànıts'edèe,philosophy; thinking of something
t'ası̀ı dehsee k'è,garden
t'ası̀ı dehsee wedzı̀ı̀,seed
t'ası̀ı dehshee k'è,garden
t'ası̀ı dehshee wejı̀ı̀,seed
t'ası̀ı edaa nechà-lea wehàetaa,microbiology
t'ası̀ı gogha łedı̀ı,smell
t'ası̀ı gogha nezı̨ı̨̀-le,allergies
t'ası̀ı gogha nezı̨-le,allergy; something not good for us
t'ası̀ı gogha whelaa,provision
t'ası̀ı gha sǫǫ̀mba k'èhodı̀ı,restricted revenues
t'ası̀ı ghǫ nats'et'èe hoghàgoetǫǫ,rehabilitation programs
t'ası̀ı ghǫǫ̀-le,for no reason
t'ası̀ı hazǫǫ̀,everything; all sorts of things
t'ası̀ı hazhǫǫ̀,everything; all sorts of things
t'ası̀ı ka ets'eèhkw'ǫ,listen for
t'ası̀ı kaà-le,for no reason
t'ası̀ı kàehtaa dǫǫ̀,scientist
t'ası̀ı kàgoehdee,insect bite
t'ası̀ı kàhots'ehwhı-le,conserve
t'ası̀ı k'e eghàlats'edaa,project
t'ası̀ı k'e geèhkw'ee dǫǫ̀,committee
t'ası̀ı k'e sǫǫ̀mba hołè,revenues
t'ası̀ı k'èezǫǫ,medicine man
t'ası̀ı k'èèzhǫǫ,medicine man
t'ası̀ı k'èezhǫǫ,medicine man
t'ası̀ı k'èxa-le goghǫnıhoòtǫǫ,being loved without any payment; grace
t'ası̀ı nàedı̀,sales
t'ası̀ı nàhtsı̨̀ı̨ dǫǫ̀,collector; person who collects things
t'ası̀ı nàts'eehɂı̨̀,hide; keep secret
t'ası̀ı Nǫ̀htsı̨ ghàts'eɂà,giving something to God; sacrifice
t'ası̀ı ts'àɂǫǫ dǫǫ̀,game warden; renewable resource officer
t'ası̀ı ts'eekè,soliciting
t'ası̀ı ts'ıı̀,scraps; garbage
t'ası̀ı ts'ıı̀ nałaetł'òo k'è,dump (place)
t'ası̀ı wek'e daɂelaa,shelf
t'ası̀ı wek'e dawhelaa,shelf
t'ası̀ı whalaa t'ası̀ı t'à hot'ı̨ı̨,supply and demand
t'ası̀ı whelaa,supplies
t'ası̀ı xàehtaa dǫǫ̀,scientist
t'ası̀ı xèts'eedı̀ı,touch
t'ası̀ıch'ıı̀ ełaetł'òo behchı̨ı̨̀,garbage truck
t'ası̀ıch'ıı̀ nàhtsı̨̀ı̨ dǫǫ̀,garbage collector
t'ası̀ıgǫ̀ą,cereal
t'ası̀ıłı̨ı̨,evil
t'ası̀ıts'ıı̀ ełaetł'òo behtsı̨ı̨̀,garbage truck
t'ası̀ıts'ıı̀ nàhtsı̨̀ı̨ dǫǫ̀,garbage collector
t'e,almost; nearly
t'è dèk'ǫ̀ǫ,coal (burns with a red flame)
T'èɂehdaà,Dettah
t'èè,charcoal; black
t'èè dèk'ǫ̀ǫ,coal
t'èè kǫ̀kwıı̀,coal; charcoal
t'èè ts'eèhk'ǫ̀,heat with coal
t'eeko,young woman
t'eekoa,girl
t'eekoa ǫhdaà,teenage girl
t'eekogòò,young girl; virgin
t'èhkǫ̀,charcoal
t'èhk'èa,black mark; spot
t'èhk'èa ı̨ghı̨̀ą,dot; black dot; spot
t'oò,paddle; propeller
t'òò,breast milk; breast
t'ooh,poplar
t'oolà,tip of poplar
t'ooladzèh,sticky cones of poplar
t'òotǫ,baby's bottle
t'seesı̀,whistle
tłebehchı̨ı̨̀,fuel truck
tłebehtsı̨ı̨̀,fuel truck
tłeèk'ǫ̀ǫ,oil furnace
tłeekwoo,butter
tłeet'òo,grease
Tłegǫ̀hłı̨ı̨,Norman Wells
tłeh,lard; grease; oil; gasoline; fuel; ointment
tłeh dèk'ǫ̀ǫ satsǫ̀ǫ̀,oil stove; furnace
tłeh dèk'ǫ̀ǫ tłeè,heating oil; fuel
tłeh dekwoo,butter
tłeh det'òo,grease
tłeh eehxoo t'à ts'eht'è,deep-fry; cook in boiling grease
tłeh goghàedıı k'è,gas station
tłeh gha k'àodèe gı̨lı̨ı̨,oil company
tłeh lı̀baà,oil drum
tłeh nàedı̀ı kǫ̀,gas station
tłeh satsǫ̀ k'ǫweè,oil pipeline
tłeh taà eehxo,deep-fry; boil in grease
tłeh taà ts'eht'è,fry
tłeh t'à ts'eht'è,fry
Tłehdıı̀,Joliffe Island
tłehlı,tallow
Tłehndıı̀,Joliffe Island
tłehtǫ,gas tank; jerry can; lard pail; oil pail
tłehtǫa,lard can
tłeht'oò,outboard motor; kicker
tłeht'òo,gas pump on kicker
tłeht'oò kè,propeller on outboard motor
tłehtł'ı,gas-line
tłehtł'ıı̀,cord for starting a motor; starter-cord
tłehts'ı,engine; motor; outboard motor
tłehts'ı tłeè,gasoline for outboard motors
tłehweè,oil pipeline
tłehweè nıɂàa,pipeline
tłeweè nıɂàa,pipeline
tłı̨,dog
tłı̨ behchı̨ı̨̀,dogsled; toboggan
tłı̨ behchı̨ı̨̀ t'àı̨laa,dogteam
tłı̨ behchı̨ı̨̀ t'ǫ̀ whedaa,wheel dog of a team
tłı̨ behchı̨ı̨̀ t'ǫ̀ whetı̨ı̨,wheel dog of a team
tłı̨ behchı̨ı̨̀ t'ǫ̀ whetı̨ı̨ nakweè whetı̨ı̨,dog in front of the wheel dog
tłı̨ behtsı̨ı̨̀,dogsled; toboggan
tłı̨ behtsı̨ı̨̀ t'àı̨laa,dogteam
tłı̨ behtsı̨ı̨̀ t'ǫ̀ whedaa,wheel dog of a team
tłı̨ behtsı̨ı̨̀ t'ǫ̀ whetı̨ı̨,wheel dog of a team
tłı̨ behtsı̨ı̨̀ t'ǫ̀ whetı̨ı̨ nakweè whetı̨ı̨,dog in front of the wheel dog
tłı̨ dekwaà,dog whip
tłı̨ goı̨zǫą,pet dog
tłı̨ goı̨zhǫą,pet dog
